json_data,list-card-link href,list-card-addr,list-card-type,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-variable-text,list-card-link src,list-card-save-content,list-card-truncate
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""37ave, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""37ave"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.74896,""longitude"":-73.85448},""url"":""/homedetails/37ave-Corona-NY-11368/2082640839_zpid/""}",https://www.zillow.com/homedetails/37ave-Corona-NY-11368/2082640839_zpid/,"37ave, Corona, NY 11368",Apartment for rent,"$2,200/mo",2,bds,1,ba,--,sqft,16 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6129 167th St # 2fl, Fresh Meadows, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6129 167th St # 2FL"",""addressLocality"":""Fresh Meadows"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.737434,""longitude"":-73.801602},""url"":""/homedetails/6129-167th-St-2FL-Fresh-Meadows-NY-11365/2101461228_zpid/""}",https://www.zillow.com/homedetails/6129-167th-St-2FL-Fresh-Meadows-NY-11365/2101461228_zpid/,"6129 167th St # 2FL, Fresh Meadows, NY 11365",Apartment for rent,"$2,150/mo",2,bds,1,ba,--,sqft,16 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""137-10 59th Ave, Queens, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""137-10 59th Ave"",""addressLocality"":""Queens"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.744624,""longitude"":-73.835556},""url"":""/homedetails/137-10-59th-Ave-Queens-NY-11355/2082640913_zpid/""}",https://www.zillow.com/homedetails/137-10-59th-Ave-Queens-NY-11355/2082640913_zpid/,"137-10 59th Ave, Queens, NY 11355",Apartment for rent,"$2,299/mo",3,bds,2,ba,--,sqft,16 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
,"https://www.zillow.com/b/10514-Martense-Ave-Corona-NY/40.741601,-73.85468_ll/","10514 Martense Ave, Corona, NY",For Rent,,"$1,800+",1 bd,"$2,900",3 bds,,,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
,"https://www.zillow.com/b/16415-75th-Ave-Flushing-NY/40.727395,-73.804412_ll/","16415 75th Ave, Flushing, NY",For Rent,,"$2,950+",3 bds,,,,,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""16204 71st Ave # 1fl, Fresh Meadows, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""16204 71st Ave # 1FL"",""addressLocality"":""Fresh Meadows"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730183,""longitude"":-73.806933},""url"":""/homedetails/16204-71st-Ave-1FL-Fresh-Meadows-NY-11365/2082647026_zpid/""}",https://www.zillow.com/homedetails/16204-71st-Ave-1FL-Fresh-Meadows-NY-11365/2082647026_zpid/,"16204 71st Ave # 1FL, Fresh Meadows, NY 11365",Apartment for rent,"$1,800/mo",2,bds,1,ba,--,sqft,1 day ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10543 65th Rd # 1, Forest Hills, NY 11375"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,800""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10543 65th Rd # 1"",""addressLocality"":""Forest Hills"",""addressRegion"":""NY"",""postalCode"":""11375""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730941,""longitude"":-73.849379},""url"":""/homedetails/10543-65th-Rd-1-Forest-Hills-NY-11375/2082774721_zpid/""}",https://www.zillow.com/homedetails/10543-65th-Rd-1-Forest-Hills-NY-11375/2082774721_zpid/,"10543 65th Rd # 1, Forest Hills, NY 11375",Apartment for rent,"$3,500/mo",3,bds,2,ba,"1,800",sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Metro Garden Realty NYC
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6127 167th St Fl 2nd, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,500""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6127 167th St FL 2ND"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73804,""longitude"":-73.80183},""url"":""/homedetails/6127-167th-St-FL-2ND-Flushing-NY-11365/2083068865_zpid/""}",https://www.zillow.com/homedetails/6127-167th-St-FL-2ND-Flushing-NY-11365/2083068865_zpid/,"6127 167th St FL 2ND, Flushing, NY 11365",Apartment for rent,"$2,150/mo",2,bds,1,ba,"1,500",sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""196-33 47th Avenue # 2 Nd Floor, Flushing, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""650""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""196-33 47th Avenue # 2 Nd Floor"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.750325,""longitude"":-73.794241},""url"":""/homedetails/196-33-47th-Avenue-2-Nd-Floor-Flushing-NY-11368/2082651042_zpid/""}",https://www.zillow.com/homedetails/196-33-47th-Avenue-2-Nd-Floor-Flushing-NY-11368/2082651042_zpid/,"196-33 47th Avenue # 2 Nd Floor, Flushing, NY 11368",Apartment for rent,"$1,650/mo",1,bd,1,ba,650,sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Block and Lot Real Estate Services
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2, Fresh Meadows, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,600""},""numberOfRooms"":4,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2"",""addressLocality"":""Fresh Meadows"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73916,""longitude"":-73.79394},""url"":""/homedetails/2-Fresh-Meadows-NY-11365/2082654167_zpid/""}",https://www.zillow.com/homedetails/2-Fresh-Meadows-NY-11365/2082654167_zpid/,"2, Fresh Meadows, NY 11365",Apartment for rent,"$2,400/mo",4,bds,2,ba,"1,600",sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,"Winzone Realty, Inc."
,"https://www.zillow.com/b/14707-72nd-Rd-Flushing-NY/40.727132,-73.818416_ll/","14707 72nd Rd, Flushing, NY",For Rent,,"$1,800+",1 bd,,,,,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5919 Van Doren St, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5919 Van Doren St"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.738864,""longitude"":-73.849251},""url"":""/homedetails/5919-Van-Doren-St-Corona-NY-11368/2082655031_zpid/""}",https://www.zillow.com/homedetails/5919-Van-Doren-St-Corona-NY-11368/2082655031_zpid/,"5919 Van Doren St, Corona, NY 11368",Apartment for rent,"$2,400/mo",3,bds,2,ba,"1,100",sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Apple Wealth Real Estate LLC
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4907 104th St # 1, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4907 104th St # 1"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.744312,""longitude"":-73.85863},""url"":""/homedetails/4907-104th-St-1-Corona-NY-11368/2092410647_zpid/""}",https://www.zillow.com/homedetails/4907-104th-St-1-Corona-NY-11368/2092410647_zpid/,"4907 104th St # 1, Corona, NY 11368",Apartment for rent,"$1,100/mo",Studio,ba,1,sqft,--,,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""42nd Ave, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""42nd Ave"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.74848,""longitude"":-73.86099},""url"":""/homedetails/42nd-Ave-Corona-NY-11368/2082656705_zpid/""}",https://www.zillow.com/homedetails/42nd-Ave-Corona-NY-11368/2082656705_zpid/,"42nd Ave, Corona, NY 11368",Apartment for rent,"$2,000/mo",2,bds,--,ba,800,sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,"One Stop Multi Service, Inc."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""15016 75th Rd, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""940""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""15016 75th Rd"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725748,""longitude"":-73.811574},""url"":""/homedetails/15016-75th-Rd-Flushing-NY-11367/2082657197_zpid/""}",https://www.zillow.com/homedetails/15016-75th-Rd-Flushing-NY-11367/2082657197_zpid/,"15016 75th Rd, Flushing, NY 11367",Apartment for rent,"$2,000/mo",2,bds,1,ba,940,sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""75th Ave, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""75th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72594,""longitude"":-73.8139},""url"":""/homedetails/75th-Ave-Flushing-NY-11367/2082657367_zpid/""}",https://www.zillow.com/homedetails/75th-Ave-Flushing-NY-11367/2082657367_zpid/,"75th Ave, Flushing, NY 11367",Apartment for rent,"$1,800/mo",1,bd,1,ba,800,sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""72nd Rd, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""840""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""72nd Rd"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.7266,""longitude"":-73.81683},""url"":""/homedetails/72nd-Rd-Flushing-NY-11367/2082657442_zpid/""}",https://www.zillow.com/homedetails/72nd-Rd-Flushing-NY-11367/2082657442_zpid/,"72nd Rd, Flushing, NY 11367",Apartment for rent,"$2,075/mo",2,bds,1,ba,840,sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7510 Kissena Blvd, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,025""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7510 Kissena Blvd"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726262,""longitude"":-73.811088},""url"":""/homedetails/7510-Kissena-Blvd-Flushing-NY-11367/2097119261_zpid/""}",https://www.zillow.com/homedetails/7510-Kissena-Blvd-Flushing-NY-11367/2097119261_zpid/,"7510 Kissena Blvd, Flushing, NY 11367",Apartment for rent,"$2,000/mo",2,bds,1,ba,"1,025",sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7219 Vleigh Pl Fl 2nd, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7219 Vleigh Pl FL 2ND"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726426,""longitude"":-73.820878},""url"":""/homedetails/7219-Vleigh-Pl-FL-2ND-Flushing-NY-11367/2082659748_zpid/""}",https://www.zillow.com/homedetails/7219-Vleigh-Pl-FL-2ND-Flushing-NY-11367/2082659748_zpid/,"7219 Vleigh Pl FL 2ND, Flushing, NY 11367",Apartment for rent,"$2,700/mo",3,bds,1.5,ba,"1,100",sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Realty Depot
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""153rd St, Kew Gardens Hills, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""153rd St"",""addressLocality"":""Kew Gardens Hills"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72494,""longitude"":-73.81468},""url"":""/homedetails/153rd-St-Kew-Gardens-Hills-NY-11367/2082660633_zpid/""}",https://www.zillow.com/homedetails/153rd-St-Kew-Gardens-Hills-NY-11367/2082660633_zpid/,"153rd St, Kew Gardens Hills, NY 11367",Apartment for rent,"$2,100/mo",1,bd,1,ba,--,sqft,2 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Hillel Realty Group
,"https://www.zillow.com/b/196-37-49ave-Fresh-Meadows-NY/40.739888,-73.794606_ll/","196-37 49ave, Fresh Meadows, NY",For Rent,,"$1,475",Studio,"$1,700+",1 bd,"$2,500+",3 bds,34 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Union Tpke, Fresh Meadows, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,190""},""numberOfRooms"":6,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Union Tpke"",""addressLocality"":""Fresh Meadows"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722019,""longitude"":-73.802757},""url"":""/homedetails/Union-Tpke-Fresh-Meadows-NY-11366/2133011351_zpid/""}",https://www.zillow.com/homedetails/Union-Tpke-Fresh-Meadows-NY-11366/2133011351_zpid/,"Union Tpke, Fresh Meadows, NY 11366",House for rent,"$4,500/mo",6,bds,2,ba,"1,190",sqft,3 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Storm Living
